Skills,Experience,Location,Graduation ,Post Graduation 
"Performance testing tools (Load Runner, Parasoft SOA Test)",,,,
"Web service testing tools (SOAP-UI, HP Quality Center)",,,,
"Scripting languages (VBS, Python, SQL, XML, Perl, JavaScript)",,,,
Monitoring tools (SPLUNK SPL),,,,
REST API,,,,
JSON,,,,
Kafka,,,,
Team leadership,,,,
Facilitation,,,,
Problem-solving skills,,,,
Analytical skills,,,,
Adaptability in dynamic environments,,,,
Microsoft Office Suite,,,,
Training development,,,,
Presentation skills on emerging technologies,,,,
Hands-on testing skills,,,,
IT Service Management (ITSM),,,,
VBScript,,,,
ISTQB certification,,,,
Jira,,,,
Confluence,,,,
,,,,
Full stack engineering,,,,
CI/CD pipelines,,,,
"Cloud native development (Docker, Kubernetes, Knative)",,,,
RESTful,,,,
SOLID principles,,,,
Design patterns,,,,
Database technologies and patterns,,,,
Automated testing,,,,
Collaborative design,,,,
Enterprise Architecture principles,,,,
Front-end development,,,,
Back-end development,,,,
Postgres,,,,
NodeJS,,,,
ExpressJS,,,,
Svelte,,,,
Bitbucket,,,,
Code quality improvement,,,,
Eagerness to learn new technologies,,,,
Effective communication,,,,
Adaptability,,,,
Team collaboration,,,,
Motivated to produce high-quality results,,,,
Strong understanding of user needs,,,,
Fast-paced environment experience,,,,
Accuracy and timeliness in work,,,,
Agile product team collaboration,,,,
web services,,,,
